seed,budget,y_true,y_pred,min_cost,pred_cost,regret,rel_regret
193047361,50,aco,aco,7.152869539140362,7.152869539140362,0.0,0.0
481895360,50,sa,sa,154.9651022626014,154.9651022626014,0.0,0.0
20015811,50,ga,ga,112.31542941119942,112.31542941119942,0.0,0.0
150682057,50,aco,aco,12.219662271011726,12.219662271011726,0.0,0.0
79474837,50,aco,aco,20.78229907319345,20.78229907319345,0.0,0.0
55100825,50,aco,aco,16.000686760175412,16.000686760175412,0.0,0.0
45397096,50,ga,ga,9.350422681736966,9.350422681736966,0.0,0.0
116095693,50,aco,aco,51.90283444060045,51.90283444060045,0.0,0.0
164644257,50,ga,ga,51.03876829824566,51.03876829824566,0.0,0.0
74189147,50,aco,aco,133.4603149239197,133.4603149239197,0.0,0.0
103928633,50,aco,aco,26.966023722721044,26.966023722721044,0.0,0.0
114350418,50,aco,aco,4.6992461714784834,4.6992461714784834,0.0,0.0
13254117,50,aco,aco,52.07788442734783,52.07788442734783,0.0,0.0
145645692,50,ga,ga,117.790061434687,117.790061434687,0.0,0.0
162470143,50,ga,ga,26.106816195242438,26.106816195242438,0.0,0.0
156276910,50,aco,aco,131.27773937390873,131.27773937390873,0.0,0.0
66679478,50,aco,aco,11.526364686661942,11.526364686661942,0.0,0.0
180411570,50,aco,aco,34.86193137941859,34.86193137941859,0.0,0.0
171665249,50,aco,aco,62.8354730746293,62.8354730746293,0.0,0.0
11688356,50,aco,aco,36.84980671187972,36.84980671187972,0.0,0.0
180730706,50,aco,aco,59.57282492514408,59.57282492514408,0.0,0.0
648344730,50,sa,sa,329.6814361314445,329.6814361314445,0.0,0.0
161941574,50,ga,ga,22.48606678111156,22.48606678111156,0.0,0.0
584707017,50,sa,sa,127.48618129420365,127.48618129420365,0.0,0.0
40121379,50,ga,ga,69.67385137112967,69.67385137112967,0.0,0.0
56078179,50,aco,aco,23.07737996683153,23.07737996683153,0.0,0.0
24603391,50,ga,ga,52.368198561801286,52.368198561801286,0.0,0.0
614346773,50,sa,sa,55.00148721751404,55.00148721751404,0.0,0.0
21192625,50,aco,aco,18.003782842234116,18.003782842234116,0.0,0.0
29021430,50,aco,aco,31.99029843967152,31.99029843967152,0.0,0.0
114839095,50,aco,aco,31.98025971423351,31.98025971423351,0.0,0.0
5554961,50,aco,aco,14.98147659417002,14.98147659417002,0.0,0.0
106691154,50,ga,ga,64.59242899846778,64.59242899846778,0.0,0.0
93217631,50,aco,aco,4.740353122478341,4.740353122478341,0.0,0.0
178217510,50,aco,aco,20.84976691975664,20.84976691975664,0.0,0.0
134057066,50,aco,aco,9.076629818057508,9.076629818057508,0.0,0.0
159099269,50,ga,ga,74.73350969407883,74.73350969407883,0.0,0.0
58212401,50,aco,aco,76.32825922688059,76.32825922688059,0.0,0.0
42006276,50,aco,aco,16.277683832799365,16.277683832799365,0.0,0.0
71336869,50,ga,ga,53.32037114981361,53.32037114981361,0.0,0.0
54592202,50,ga,ga,77.60543334001355,77.60543334001355,0.0,0.0
165511908,50,ga,ga,8.968188935857413,8.968188935857413,0.0,0.0
43522172,50,aco,aco,44.33620364102308,44.33620364102308,0.0,0.0
21960546,50,aco,aco,25.56213375231865,25.56213375231865,0.0,0.0
145895017,50,aco,aco,33.56778262366759,33.56778262366759,0.0,0.0
142663765,50,ga,ga,56.11202823486541,56.11202823486541,0.0,0.0
133199388,50,ga,ga,41.18984909234849,41.18984909234849,0.0,0.0
65831773,50,aco,aco,27.92064998776545,27.92064998776545,0.0,0.0
