f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
2.0,38.0,5549.532944030222,310.76585574747895,3.750614360919161,38.0,6.568842049648886,11.549980020180447,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,167.74764769574088,150.94076477512112,120.26604039054439,0.15795967099995778,3.299081512999976,6.741850779999993,50,658218
5.0,62.0,2023.4204510420054,201.55864730583377,7.550324596705149,62.0,20.029762888291224,13.276548906454288,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.8,aco,20.182689245899283,15.994814743361916,10.893550662208135,0.8392239620000055,18.67965483200004,23.741406308999956,50,578434
4.0,90.0,5803.440975440238,291.90158698812564,9.04398241118874,90.0,19.939335043358707,13.082117653214777,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,48.199755025042364,41.32987232457707,25.957777607910202,0.9360366059999592,17.492619925999975,30.010932953999998,50,608353
4.0,50.0,3257.668936201395,1105.3642699795241,4.272860406842414,50.0,10.901730888921456,7.673334580529614,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,0.3333333333333333,aco,1570.4423467651898,743.4907057356615,552.8374962793987,0.43118607399998155,10.702677213000015,19.186081812999987,50,648245
5.0,109.0,1451.2089562238489,1182.7353608258272,8.898300840203317,109.0,8.61161488263031,23.961361629629337,20.0,20.0,0.0,1.0,13.6,5.0,11.779853180184723,5.0,1.0,aco,21.708705880173255,16.90815690536946,15.308837816118963,1.7069749190000039,30.82490641200002,42.087707196999986,50,558488
3.0,86.0,5167.799597727675,776.6043417355583,9.389872914039852,86.0,15.15740356611711,23.446845524841965,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,62.55104405221255,58.777119788783345,42.31222772763269,0.6202465320000101,12.283816287999969,22.833596201000034,50,668191
4.0,127.0,6204.462146078622,374.7706961660761,5.641694112617956,127.0,15.576516230188936,16.66895049131275,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,37.52641746154857,32.79388574344342,23.222615619112016,1.1578039660000172,26.026207333000002,43.047378579999986,50,568461
3.0,107.0,4296.0602169979,232.61463488824077,0.5376355385175564,107.0,9.415884916758102,9.85565984449709,20.0,20.0,0.0,1.0,13.333333333333334,10.0,10.960818704235791,7.0710678118654755,0.3333333333333333,sa,58.64414762740999,60.92685618138648,62.60828077804444,0.5998770629999512,13.528855958999998,25.230754186000013,50,678164
5.0,99.0,4295.514672848784,390.36673324702275,5.894463098320291,99.0,9.351591795174564,18.483673758062437,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,1.0,aco,28.712062250672496,33.4456249500348,17.30341963813895,1.7589358609999977,27.019594899000026,38.232240891000004,50,598380
2.0,95.0,3141.4525455524868,296.36011346060434,2.1104797066017627,95.0,17.348381955463147,16.026191993868725,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,51.224453999884375,55.472393404889495,33.46074826137256,0.30792067900000575,8.565678510999987,17.032022898000037,50,718056
5.0,79.0,1737.587690324425,1577.8496456281014,6.308723031139577,79.0,12.514199117138318,23.414105642024502,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,1.0,aco,27.625046103228506,24.951558739858015,20.90923986249925,1.406327927999996,23.252478580000002,32.92690525900002,50,688137
3.0,148.0,1529.9252611663317,195.00607522302232,6.158653357259709,148.0,20.80727012527514,18.77983784305313,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,12.755654518478032,13.86694290699247,8.104887356367906,0.8420311849999962,20.708101737999982,35.575402553,50,698110
2.0,124.0,4530.891486485193,273.5864934358435,1.6108848827206896,124.0,8.571871953693567,15.316887538290102,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,60.57472742335002,48.75276131969528,33.652215022871765,0.6114266220000104,10.284332785000004,22.349650198999996,50,738002
