f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
5.0,52.0,9405.485239534226,128.00490259333304,4.831762458278195,52.0,23.08401348784055,10.546843016568976,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.7,aco,85.27337247095899,62.64842091026682,48.248203776254236,0.5362287759999163,11.46376156599581,18.78131824999582,50,189177837
2.0,117.0,3246.7408247505937,1242.767699109956,5.963544201498837,117.0,24.041478392073746,6.992129673111105,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,0.0,sa,120.60351672802173,121.28351151057487,286.40183287762164,0.45001503500679974,7.564634704001946,16.773429829001543,50,460054490
5.0,81.0,4859.470040348275,459.4114976524298,1.186625118044165,81.0,12.490671061605715,7.012777535293408,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.4,ga,134.6370726931059,30.978566375502815,566.3172844376116,0.9315885180003534,15.134493179999481,23.252659434001544,50,33170198
3.0,115.0,1062.987003081597,427.43412619374936,9.587638332104852,115.0,14.881613934415464,14.237518451880005,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,17.3492619543387,14.105688608470533,12.137708026556215,0.7359822040016297,13.40631156499876,26.32567451599607,50,134296418
5.0,76.0,3352.7770294410934,383.9432564338389,2.3751667577114732,76.0,16.78442310873082,9.611133592176445,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,aco,29.359323763284504,28.533930883037854,17.46559688403056,2.231557127000997,20.29300976000377,31.25559891299781,50,150801733
6.0,130.0,1104.885047514415,321.103664434601,5.8074701917661855,130.0,17.950408833131128,6.535614232574751,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.4,ga,5308.876140052467,7.319592066067207,13079.363492106308,7.3332381779982825,34.20499749999726,40.38990764900154,50,84660797
6.0,133.0,1522.0227176235862,276.7072629272389,4.087809985480683,133.0,18.989351856332394,9.79317781766441,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.6,ga,9.497209606738316,6.741188446438593,1837.6766618711156,4.434027639006672,38.46074332699936,45.33719130299869,50,158879863
4.0,86.0,5364.392180147767,231.21580637568735,7.15998659803191,86.0,16.085004677665935,7.540359124294584,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,0.6666666666666666,ga,59.05745514365751,39.8162693990181,1707.4154869728081,1.0025818919966696,13.9881379369981,22.92300518399861,50,165232664
4.0,34.0,11990.752592471848,859.4610546271947,0.5793130549303613,34.0,24.351073172073047,8.840850354895673,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,0.6666666666666666,aco,209.49300125165718,184.91009433056342,126.81387635754908,0.22889670199947432,5.57116159799989,9.259046062001289,50,97316534
5.0,143.0,1969.6361859923147,1140.298535911171,7.382724443247194,143.0,22.193063291032225,9.614175878543168,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,ga,16.634455252944072,15.359120172506925,1453.5576420149598,3.5303103450005437,31.39399618099924,41.52431118499953,50,48309212
4.0,76.0,1779.3794573906994,223.03947731154577,8.134602766211763,76.0,13.667465744850997,21.171335408551794,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,18.571274322532688,19.215083166266428,10.704472005643469,0.5557120590019622,13.898366980996798,22.47033598100097,50,152726522
6.0,86.0,11174.096927357168,1294.1851170377859,9.139954029011676,86.0,6.264252135454877,9.169726219972631,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.6,ga,85.58200201874874,82.59428956072618,228.79872329713726,2.2098751030025596,25.042165384002146,44.38182827299897,50,69342269
6.0,73.0,11668.565569846593,576.6244111498769,0.9040343395083358,73.0,12.302964153039513,9.652573537774357,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.6,aco,81.97401857050733,74.37560731358283,45.63755420030237,1.2057714119946468,20.847035334001703,27.5607429590018,50,186564911
4.0,110.0,5697.213259225039,228.9171001475602,4.811045171664087,110.0,22.76353014023104,17.066653295366013,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,39.5184771745397,33.9580178008088,20.493743909872837,0.7254019410011097,15.390188678000413,24.53129465299935,50,38027049
2.0,138.0,1315.5316382095868,596.7566362803462,4.770829115325466,138.0,23.720821990831297,6.010032529992062,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,0.0,sa,152.61890864822973,486.3576173749624,1137.973343261336,0.5029373910074355,9.907852087999345,21.285897430003388,50,16355720
6.0,68.0,8000.940453111665,489.6814560221501,9.337584928599194,68.0,17.049314003022722,24.894260754187727,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,1.0,aco,56.8338065890444,45.32508843113511,32.1377804828855,1.1781705949997558,19.497298201000376,24.5486081250001,50,26089368
3.0,86.0,6664.244041673135,120.48922545065165,2.688863235000365,86.0,21.099282995707284,12.279633052507865,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,67.43809076378308,53.979238594512836,33.99055473751088,0.418893742000364,9.11480836300143,17.104373706999468,50,22868089
4.0,31.0,2873.4670812790923,135.01839631956108,7.8659699531287695,31.0,20.203024182826113,14.67833826874937,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,44.39612520701259,39.85574511503527,29.95506965710792,0.25642170699939015,4.4703970910013595,8.732433957000467,50,59468999
4.0,63.0,1412.1169055760286,102.34070243763031,9.728756980805386,63.0,21.62710039837749,23.81104794936937,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,14.707231720076914,13.83012407249213,8.514062670156155,0.45868993700059946,10.217865041999175,16.609397272000933,50,23286955
3.0,126.0,5962.69637958146,847.800371359659,7.477315263917493,126.0,12.720387537781043,8.516587793417287,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,ga,74.02349547595912,57.5183318456856,1042.02294823334,0.615204187000927,13.139149614999042,23.254103939001652,50,74219066
